TEST099,,
0004004,,
0081099,Spring/Summer,15
0081111,Spring/Summer,15
0083040,Spring/Summer,15
0150059,Spring/Summer,15
0215042,Spring/Summer,15
0216040,Spring/Summer,15
0217048,Spring/Summer,15
0219043,Spring/Summer,15
0442043,Spring/Summer,15
0579050,Spring/Summer,15
0579051,Spring/Summer,15
0582082,Spring/Summer,15
0582083,Spring/Summer,15
0582087,Spring/Summer,15
0586118,Spring/Summer,15
0586119,Spring/Summer,15
0586123,Spring/Summer,15
0588072,Spring/Summer,15
0593090,Spring/Summer,15
0594053,Spring/Summer,15
0595023,Spring/Summer,15
0610061,Spring/Summer,15
0613064,Spring/Summer,15
0617047,Spring/Summer,15
0619053,Spring/Summer,15
0622053,Spring/Summer,15
0623060,Spring/Summer,15
0624063,Spring/Summer,15
0625047,Spring/Summer,15
0630047,Spring/Summer,15
0631061,Spring/Summer,15
0632062,Spring/Summer,15
0633047,Spring/Summer,15
0651043,Spring/Summer,15
0662076,Spring/Summer,15
0663076,Spring/Summer,15
0665076,Spring/Summer,15
0667205,Spring/Summer,15
0667236,Spring/Summer,15
0669155,Spring/Summer,15
0914043,Spring/Summer,15
0915061,Spring/Summer,15
0915064,Spring/Summer,15
0973156,Spring/Summer,15
0973157,Spring/Summer,15
0973160,Spring/Summer,15
0974130,Spring/Summer,15
0974131,Spring/Summer,15
0975075,Spring/Summer,15
0975078,Spring/Summer,15
0975086,Spring/Summer,15
0976123,Spring/Summer,15
0976126,Spring/Summer,15
0977170,Spring/Summer,15
0977173,Spring/Summer,15
0978172,Spring/Summer,15
0978173,Spring/Summer,15
0980130,Spring/Summer,15
0980131,Spring/Summer,15
0982082,Spring/Summer,15
0982094,Winter,15
0983087,Spring/Summer,15
0983090,Spring/Summer,15
0983093,Spring/Summer,15
0984238,Spring/Summer,15
0984244,Spring/Summer,15
0984250,Winter,15
0984268,Spring/Summer,15
0984269,Spring/Summer,15
0985129,Spring/Summer,15
0985130,Spring/Summer,15
0985133,Spring/Summer,15
0985157,Spring/Summer,15
0985158,Spring/Summer,15
0985159,Spring/Summer,15
0986124,Spring/Summer,15
0986127,Spring/Summer,15
0986151,Spring/Summer,15
0986152,Spring/Summer,15
0986153,Spring/Summer,15
0986154,Spring/Summer,15
0987131,Spring/Summer,15
0987132,Spring/Summer,15
0988109,Spring/Summer,15
1004021,Spring/Summer,15
1005005,Spring/Summer,04
1005012,Spring/Summer,15
1005013,Spring/Summer,15
1008053,Spring/Summer,15
1008057,Spring/Summer,15
1008059,Spring/Summer,15
1011030,Spring/Summer,15
1016050,Spring/Summer,15
1017043,Spring/Summer,15
1024019,Spring/Summer,15
1120085,Spring/Summer,15
1120086,Spring/Summer,15
1120087,Spring/Summer,15
1121108,Spring/Summer,15
1129033,Spring/Summer,15
1130033,Spring/Summer,15
1176020,Spring/Summer,15
1209090,Spring/Summer,15
1209093,Spring/Summer,15
1333041,Spring/Summer,15
1337093,Spring/Summer,15
1337094,Spring/Summer,15
1337096,Spring/Summer,15
1344046,Spring/Summer,15
1348130,Spring/Summer,15
1348131,Spring/Summer,15
1490029,Spring/Summer,15
1491029,Spring/Summer,15
1492029,Spring/Summer,15
1527085,Spring/Summer,15
1527090,Spring/Summer,15
1527104,Spring/Summer,15
1528037,Spring/Summer,15
1529033,Spring/Summer,15
1565025,Spring/Summer,15
1566028,Spring/Summer,15
1566029,Spring/Summer,15
1566031,Spring/Summer,15
1664253,Spring/Summer,15
1664260,Spring/Summer,15
1664262,Spring/Summer,15
1671011,Spring/Summer,15
1672010,Spring/Summer,15
1674011,Spring/Summer,15
1680097,Spring/Summer,15
1680098,Spring/Summer,15
1684031,Spring/Summer,15
1687051,Spring/Summer,15
1691059,Spring/Summer,15
1691060,Spring/Summer,15
1701031,Spring/Summer,15
1709057,Spring/Summer,15
1709058,Spring/Summer,15
1709059,Spring/Summer,15
1782012,Spring/Summer,15
1803031,Spring/Summer,15
1804027,Spring/Summer,15
1828009,Spring/Summer,15
1843029,Spring/Summer,15
1860220,Spring/Summer,15
1860221,Spring/Summer,15
1860230,Spring/Summer,15
1860231,Spring/Summer,15
1860232,Spring/Summer,15
1860233,Spring/Summer,15
1860236,Spring/Summer,15
1860249,Spring/Summer,15
1860250,Spring/Summer,15
1860251,Spring/Summer,15
1860252,Spring/Summer,15
1860253,Spring/Summer,15
1908024,Spring/Summer,15
1912029,Spring/Summer,15
1914064,Spring/Summer,15
1914065,Spring/Summer,15
1937121,Spring/Summer,15
1937122,Spring/Summer,15
1937124,Spring/Summer,15
1937125,Spring/Summer,15
